,0
DonMcLean,"Donald McLean III (born October 2, 1945) is an American singer-songwriter, best known for his 1971 hit song ""American Pie"", an 8.5-minute folk rock ""cultural touchstone"" about the loss of innocence of the early rock and roll generation.His other hit singles include ""Vincent"", ""Dreidel"", a rendition of Roy Orbison's ""Crying"", a rendition of the Skyliners' ""Since I Don't Have You"", and ""Wonderful Ba"
DonnaSummer,"LaDonna Adrian Gaines (December 31, 1948 – May 17, 2012), widely known by her stage name based on her married name Donna Summer, was an American singer, songwriter and actress. She gained prominence during the disco era of the late 1970s and became known as the ""Queen of Disco"", while her music gained a global following.While influenced by the counterculture of the 1960s, Summer became the lead si"
DonnyOsmond,"Donald Clark Osmond (born December 9, 1957) is an American singer, dancer, actor, television host and former teen idol. Osmond first gained fame performing with four of his elder brothers as the Osmonds, earning several top ten hits and gold albums. Then, in the early 1970s, Osmond began a solo career, earning several additional top ten hits, including ""Go Away Little Girl"" (U.S. No. 1), ""Puppy Lo"
Donovan,"Donovan Philips Leitch (born 10 May 1946) is a Scottish singer, songwriter and guitarist. He developed an eclectic and distinctive style that blended folk, jazz, pop, psychedelia, and world music (notably calypso). He has lived in Scotland, Hertfordshire (England), London, California, and since at least 2008 in County Cork, Ireland, with his family. Emerging from the British folk scene, Donovan re"
DoobieBrothers,"The Doobie Brothers are an American rock band from San Jose, California. Active for five decades, with their greatest success in the 1970s, the group's current lineup consists of founding members Tom Johnston (guitars, vocals) and Patrick Simmons (guitars, vocals), veteran member Michael McDonald (keyboards, vocals), longtime member John McFee (guitars, pedal steel, violin, backing vocals), and to"
DrHook,"Dr. Hook & the Medicine Show (shortened to Dr. Hook in 1975) was an American rock band, formed in Union City, New Jersey. They enjoyed considerable commercial success in the 1970s with hit singles including ""Sylvia's Mother"", ""The Cover of 'Rolling Stone'"" (both 1972), ""Only Sixteen"" (1975), ""A Little Bit More"" (1976), ""Sharing the Night Together"" (1978), ""When You're in Love with a Beautiful Woma"
DrJohn,"Malcolm John Rebennack Jr. (November 20, 1941 – June 6, 2019), better known by his stage name Dr. John, was an American singer and songwriter. His music combined blues, pop, jazz, boogie-woogie, funk, and rock and roll.Active as a session musician from the late 1950s until his death, he gained a following in the late 1960s after the release of his album Gris-Gris and his appearance at the Bath Fes"
DuranDuran,"Duran Duran () are an English new wave band formed in Birmingham in 1978. The band were one of the most successful acts of the 1980s, but by the end of the decade, membership and music style changes challenged the band before a resurgence in the early 1990s. The group were a leading band in the MTV-driven Second British Invasion of the US in the 1980s. They achieved 14 singles in the top 10 of the"
DustySpringfield,"Mary Isabel Catherine Bernadette O'Brien  (16 April 1939 – 2 March 1999), professionally known as Dusty Springfield, was an English pop singer and record producer whose career extended from the late 1950s to the 1990s. With her distinctive mezzo-soprano sound, she was an important singer of blue-eyed soul and at her peak was one of the most successful British female performers, with six top 20 sin"
Eagles,"The Eagles are an American rock band formed in Los Angeles in 1971. The founding members were Glenn Frey (guitars, vocals), Don Henley (drums, vocals), Bernie Leadon (guitars, vocals) and Randy Meisner (bass guitar, vocals). With five number-one singles, six number-one albums, six Grammy Awards, and five American Music Awards, the Eagles were one of the most successful musical acts of the 1970s. T"
EarthWindAndFire,"Earth, Wind & Fire (abbreviated as EW&F or simply EWF) is an American band that has spanned the musical genres of R&B, soul, funk, jazz, disco, pop, rock, dance, Latin, and Afro pop. They have been described as one of the most innovative and commercially successful acts of all time. Rolling Stone called them ""innovative, precise yet sensual, calculated yet galvanizing"" and declared that the band """
Easybeats,"The Easybeats were an Australian rock band that formed in Sydney in late 1964. Considered one of the most important rock acts in Australia during the 1960s, they enjoyed a level of success that in their country rivaled the Beatles and became the first Australian rock act to score an international hit with the 1966 single ""Friday on My Mind"", as well as one of the few in Australia to exclusively wr"
EddieCochran,"Ray Edward Cochran (; October 3, 1938 – April 17, 1960) was an American rock and roll musician. Cochran's songs, such as ""Twenty Flight Rock"", ""Summertime Blues"", ""C'mon Everybody"" and ""Somethin' Else"", captured teenage frustration and desire in the mid-1950s and early 1960s. He experimented with multitrack recording, distortion techniques, and overdubbing even on his earliest singles. He played t"
EddieFloyd,"Edward Lee Floyd (born June 25, 1937) is an American soul-R&B singer and songwriter, best known for his work on the Stax record label in the 1960s and 1970s including the number 1 R&B hit song ""Knock on Wood"".


== Biography ==
Floyd was born in Montgomery, Alabama, and grew up in Detroit, Michigan. He founded The Falcons, which also featured Mack Rice. They were forerunners to future Detroit voca"
EddieGrant,"Fiction Factory were a Scottish new wave band from Perth. Formed in 1983, they are best known for their single ""(Feels Like) Heaven"", which peaked at #6 on the UK Singles Chart. The song was written by Eddie Jordan and Kevin Patterson.


== History ==
Before they began Fiction Factory, Kevin Patterson (vocals), Eddie Jordan (keyboards), Grant Taylor (trumpet) and Chic Medley (guitar) played in ski"
EddieKendricks,"Eddie James Kendrick (December 17, 1939 – October 5, 1992), known professionally as both Eddie Kendrick and Eddie Kendricks, was an American singer and songwriter. Noted for his distinctive falsetto singing style, Kendricks co-founded the Motown singing group The Temptations, and was one of their lead singers from 1960 until 1971. He was the lead voice on such famous songs as ""The Way You Do the T"
EddieMoney,"Edward Joseph Mahoney (March 21, 1949 – September 13, 2019), known professionally as Eddie Money, was an American rock singer and songwriter who had success in the 1970s and 1980s with 11 Top 40 songs including ""Baby Hold On"", ""Two Tickets to Paradise"", ""Think I'm in Love"", ""Shakin'"", ""Take Me Home Tonight"", ""I Wanna Go Back"", ""Walk on Water"", and ""The Love in Your Eyes"". Money was known as a work"
EdgarWinter,"Edgar Holland Winter (born December 28, 1946) is an American musician, songwriter, and record producer. He is known for being a multi-instrumentalist—keyboardist, guitarist, saxophonist and percussionist—as well as a singer. His success peaked in the 1970s with his band The Edgar Winter Group and their popular songs ""Frankenstein"" and ""Free Ride"".


== Early life ==
Winter was born to John Winter "
EdisonLighthouse,"Edison Lighthouse were an English pop band, formed in London in 1969. The band was best known for their 1970 hit single, ""Love Grows (Where My Rosemary Goes)"" recorded in late 1969.


== Career ==
The original line-up of Edison Lighthouse consisted of Tony Burrows (lead vocalist), Stuart Edwards (lead guitar), David Taylor (bass guitar), George Weyman (drums), and Ray Dorey (guitar). The group's T"
EdwinStarr,"Edwin Starr (born Charles Edwin Hatcher; January 21, 1942 – April 2, 2003) was an American singer and songwriter. Starr was famous for his Norman Whitfield-produced Motown singles of the 1970s, most notably the number-one hit ""War"".
Starr was born in Tennessee and raised in Ohio, and later lived in Detroit while singing for Ric-Tic and Motown Records. He was backed by the band that would become kn"
ELO,"The Electric Light Orchestra (ELO) are  an English rock band formed in Birmingham in 1970 by songwriters-multi-instrumentalists Jeff Lynne and Roy Wood with drummer Bev Bevan. Their music is characterised by a fusion of Beatlesque pop, classical arrangements and futuristic iconography. After Wood's departure in 1972, Lynne became the band's sole leader, arranging and producing every album while wr"
EltonJohm,"Melodisc Records was a record label founded by Emil E. Shalit in the late 1940s.  It was one of the first independent record labels in the UK and the parent company of the Blue Beat label.


== History ==
Melodisc records was founded by Austrian-born American citizen Emil Edward Shalit (24 December 1909 – 23 April 1983) and his business partner Jack Chilkes. Melodisc began trading in London in Aug"
ElvinBishop,"Elvin Richard Bishop (born October 21, 1942) is an American blues and rock music singer, guitarist, bandleader, and songwriter. An original member of the Paul Butterfield Blues Band, he was inducted into the Rock and Roll Hall of Fame as a member of that group in 2015 and the Blues Hall of Fame in his own right in 2016.
Bishop feels that the limitations of his voice have helped his songwriting.


"
ElvisPresley,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977), also known simply as Elvis, was an American singer and actor. He is regarded as one of the most significant cultural icons of the 20th century and is often referred to as the ""King of Rock and Roll"" or simply ""the King"". His energized interpretations of songs and sexually provocative performance style, combined with a singularly potent mix o"
EmersonLakeAndPalmer,"Emerson, Lake & Palmer (ELP) were an English progressive rock supergroup formed in London in April 1970. The band consisted of keyboardist Keith Emerson; singer, bassist, guitarist and producer Greg Lake; and drummer and percussionist Carl Palmer. With nine RIAA-certified gold record albums in the US, and an estimated 48 million records sold worldwide, they were one of the most popular and commerc"
EnglandDan,"England Dan & John Ford Coley were an American soft rock duo composed of Danny Wayland ""England Dan"" Seals and John Edward ""John Ford"" Coley, active throughout the 1970s. Native Texans, they are best known for their 1976 single ""I'd Really Love to See You Tonight"", a No. 2 hit in the Billboard Hot 100 and a No. 1 Adult Contemporary hit. After they disbanded, Seals began performing as Dan Seals and"
Equals,"The Equals are a British pop, R&B and rock group  formed in North London, England in 1965.  They are best remembered for their million-selling chart-topper ""Baby, Come Back"", though they had several other chart hits in the UK and Europe. Eddy Grant founded the group with John Hall, Pat Lloyd, and brothers Derv and Lincoln Gordon, and they were noted as being ""the first major interracial rock group"
EricCarmen,"Eric Howard Carmen (born August 11, 1949) is an American singer, songwriter, guitarist and keyboardist. He scored numerous hit songs across the 1970s and 1980s, first as a member of the Raspberries (who had a million-selling single with ""Go All the Way""), and then with his solo career, including hits such as ""All by Myself"", ""Never Gonna Fall in Love Again"", ""She Did It"", ""Hungry Eyes"", and ""Make "
EricClapton,"Eric Patrick Clapton,  (born 30 March 1945) is an English rock and blues guitarist, singer, and songwriter. He is the only three-time inductee to the Rock and Roll Hall of Fame: once as a solo artist and separately as a member of the Yardbirds and of Cream. Clapton has been referred to as one of the most important and influential guitarists of all time. Clapton ranked second in Rolling Stone's lis"
Europe,"An artist is a person engaged in an activity related to creating art, practicing the arts, or demonstrating an art. The common usage in both everyday speech and academic discourse is a practitioner in the visual arts only. The term is often used in the entertainment business, especially in a business context, for musicians and other performers (less often for actors). ""Artiste"" (the French for art"
Eurythmics,"The discography of Eurythmics, a British rock/pop duo, consists of eight studio albums, one live album, two compilation albums, one soundtrack album, one extended play, and thirty-three singles. Their first studio album, In the Garden, was released in 1981 but they did not gain any commercial success until their second album, Sweet Dreams (Are Made of This), released in 1983. The album reached num"
EverlyBrothers,"The Everly Brothers were an American country-influenced rock and roll duo, known for steel-string acoustic guitar playing and close harmony singing. Consisting of Isaac Donald ""Don"" Everly (born February 1, 1937) and Phillip ""Phil"" Jason Everly (January 19, 1939 – January 3, 2014), the duo was raised in a musical family, first appearing on radio singing along with their father Ike Everly and mothe"
Exile,"Exile is a 19-member Japanese boy band. The leader of the group is Hiro, who debuted as a member of Zoo under For Life Music, but Exile have released their singles and albums under Avex Group's label Rhythm Zone. Hiro and Avex's president Max Matsuura came from the same high school. In 2003, the six original members of Exile founded the management and entertainment company LDH which has debuted ma"
Extreme,"Extreme is an American rock band, currently headed by frontman Gary Cherone and guitarist Nuno Bettencourt. The band reached the height of their popularity in the late 1980s and early 1990s with original line-up Gary Cherone, Nuno Bettencourt, Paul Geary and Patrick Badger.
They have released five studio albums, two EPs (in Japan) and two compilation albums since their formation. The band was one "
FabulousThunderbirds,"The Fabulous Thunderbirds are an American blues rock band formed in Texas in 1974.


== Career ==
After performing for several years in the Austin, Texas blues scene, the band won a recording contract with Takoma/Chrysalis Records and later signed with Epic Records. In 2011, they signed with Severn Records.Their first two albums were released in 1979 and 1980, with Kim Wilson's lead vocals and har"
FaithNoMore,"Faith No More is an American rock band from San Francisco, California, formed in 1979. Before settling on the current name, the band performed under the names Sharp Young Men and later Faith No Man. Bassist Billy Gould, keyboardist/rhythm guitarist Roddy Bottum and drummer Mike Bordin are the longest-remaining members of the band, having been involved since its inception. The band underwent severa"
Falco,"Johann ""Hans"" Hölzel (German: [ˈjoːhan ˈhœlt͡sl̩]; 19 February 1957 – 6 February 1998), better known by his stage name Falco, was an Austrian singer and songwriter.Falco had several international hits including ""Rock Me Amadeus"", ""Der Kommissar"", ""Vienna Calling"", ""Jeanny"", ""The Sound of Musik"", ""Coming Home (Jeanny Part II, One Year Later)"", and posthumously ""Out of the Dark"". ""Rock Me Amadeus"" r"
FatsDomino,"Antoine ""Fats"" Domino Jr. (February 26, 1928 – October 24, 2017) was an American pianist and singer-songwriter. One of the pioneers of rock and roll music, Domino sold more than 65 million records. Between 1955 and 1960, he had eleven Top 10 hits. His humility and shyness may be one reason his contribution to the genre has been overlooked.During his career, Domino had 35 records in the U.S. Billbo"
FifthDimension,"Fifth Dimension is the third album by the American folk rock band the Byrds and was released in July 1966 on Columbia Records (see 1966 in music). Most of the album was recorded following the February 1966 departure of the band's principal songwriter Gene Clark. In an attempt to compensate for Clark's absence, guitarists Jim McGuinn and David Crosby stepped into the breach and increased their song"
FineYoungCannibals,"Fine Young Cannibals were a British rock band formed in Birmingham, England, in 1984, by bassist David Steele, guitarist Andy Cox (both formerly of The Beat), and singer Roland Gift (formerly of the Akrylykz). Their self-titled 1985 debut album contained ""Johnny Come Home"" and a cover of ""Suspicious Minds"", two songs that were top 40 hits in the UK, Canada, Australia and many European countries.  "
Firefall,"Firefall is an American country rock band that formed in Boulder, Colorado, United States, in 1974. It was founded by Rick Roberts, who had been in the Flying Burrito Brothers, and Jock Bartley, who had been Tommy Bolin's replacement in Zephyr. The band's biggest hit single, ""You Are the Woman"", peaked at No. 9 on the Billboard charts in 1976.  Other hits included ""Just Remember I Love You"" (#11 i"
FirstClass,"The First Class were a British pop music studio-based group, put together by songwriter and record producer John Carter. They are best known for their hit song ""Beach Baby,"" a top 20 hit in both the US and UK.


== Career ==
The First Class was the studio creation of British singer/songwriter John Carter, who hired singers Tony Burrows and Chas Mills to join him as an outlet for material Carter wr"
FiveManElectricalBand,"The Five Man Electrical Band (known as The Staccatos from 1963–68) is a Canadian rock group from Ottawa, Ontario. They had many hits in Canada, including the top 10 entries ""Half Past Midnight"" (1967) (as The Staccatos), ""Absolutely Right"" (1971) and ""I'm a Stranger Here"" (1972).  Internationally, they are best known for their 1971 hit single ""Signs"".


== History ==


=== Initial success as The S"
FleetwoodMac,"The discography of Fleetwood Mac consists of 18 studio albums, nine live albums, 23 compilation albums, one extended play single, and 62 singles.
The 1967–1969 era Blue Horizon albums (Fleetwood Mac, Mr. Wonderful, The Pious Bird of Good Omen and Fleetwood Mac in Chicago) and 1971 outtakes album The Original Fleetwood Mac have been remastered and reissued on CD, as have the 1975–1987 era Warner Br"
FontellaBass,"Fontella Marie Bass (July 3, 1940 – December 26, 2012) was an American R&B and soul singer and songwriter best known for her number-one R&B hit ""Rescue Me"" in 1965. 


== Early life ==
Fontella Bass was born in St. Louis, Missouri. She was the daughter of gospel singer Martha Bass, who was a member of the Clara Ward Singers, and the older sister of R&B singer David Peaston. At an early age, Fontel"
Foreigner,"The discography of Foreigner, a British-American rock band, consists of 9 studio albums, 7 live albums, 20 compilation albums, and 47 singles.
The band was formed in New York City in 1976 by veteran English musicians Mick Jones and Ian McDonald, and American vocalist Lou Gramm. Since then, Foreigner has released nine studio albums, seven of which have reached the top 30 of the Billboard 200 chart."
Fortunes,"The Fortunes are an English harmony beat group. Formed in Birmingham, the Fortunes first came to prominence and international acclaim in 1965, when ""You've Got Your Troubles"" broke into the US and UK Top 10s. Afterwards, they had a succession of hits including ""Here It Comes Again"" and ""Here Comes That Rainy Day Feeling Again""; continuing into the 1970s with more globally successful releases such "
FourSeasons,"The Four Seasons are an American rock and pop band that became internationally successful in the 1960s and 1970s. Since 1970, they have also been known at times as Frankie Valli and the Four Seasons. In 1960, the band known as The Four Lovers evolved into the Four Seasons, with Frankie Valli as the lead singer, Bob Gaudio (formerly of the Royal Teens) on keyboards and tenor vocals, Tommy DeVito on"
FourTops,"The Four Tops are an American vocal quartet from Detroit, Michigan who helped to define the city's Motown sound of the 1960s. The group's repertoire has included soul music, R&B, disco, adult contemporary, doo-wop, jazz, and show tunes.
Founded as the Four Aims, lead singer Levi Stubbs, Abdul ""Duke"" Fakir, Renaldo ""Obie"" Benson and Lawrence Payton remained together for over four decades, performin"
FrankieAvalon,"Frankie Avalon (born Francis Thomas Avallone; September 18, 1940) is an American actor, singer, and former teen idol. Avalon had 31 charted U.S. Billboard singles from 1958 to late 1962, including the number one hits ""Venus"" and ""Why"" in 1959.


== Life and career ==


=== Early life and music ===
Avalon was born in Philadelphia, Pennsylvania, the son of Mary and Nicholas Avallone.In December 1952"
FrankieValli,"Frankie Valli (born Francesco Stephen Castelluccio; May 3, 1934) is an American singer, known as the frontman of The Four Seasons beginning in 1960. He is known for his unusually powerful lead falsetto voice.
Valli scored 29 Top 40 hits with The Four Seasons, one Top 40 hit under The Four Seasons alias The Wonder Who?, and nine Top 40 hits as a solo artist. As a member of The Four Seasons, Valli's"
FrankMills,"Frank Mills (born June 27, 1942) is a Canadian pianist and recording artist, best known for his solo instrumental hit ""Music Box Dancer"".


== Early life and education ==
Mills was born in Montreal, Quebec. He was raised in Verdun, Quebec and started playing piano at the age of three.
Mills attended McGill University for five years. At McGill, he initially studied engineering, but eventually switc"
FrankSinatra,"American vocalist Frank Sinatra has recorded 59 studio albums and 297 singles in his solo career, spanning 54 years. Sinatra signed with Columbia Records in 1943; his debut album The Voice of Frank Sinatra was released in 1946. Sinatra would achieve greater success with Capitol and Reprise Records, the former of which he released his final two albums on—Duets and Duets II. Eight compilation albums"
FrankZappa,"This is a list of albums by Frank Zappa, including all those credited to the Mothers of Invention. During his lifetime, Zappa released 62 albums. Since 1994, the Zappa Family Trust has released 54 posthumous albums as of July 2020, making a total of 116 albums/album sets.  The current distributor of Zappa's recorded output is Universal Music Enterprises. A list of albums of Zappa's music by other "
FredaPayne,"Freda Charcilia Payne (born September 19, 1942) is an American singer and actress. Payne is best known for her career in music during the mid–1960s through the mid–1980s. Her most notable record is her 1970 hit single, ""Band of Gold"". Payne was also an actress in musicals and film, as well as the host of a TV talk show. Payne is the older sister of Scherrie Payne, a former singer with the American"
FreddieAndTheDreamers,"Freddie and the Dreamers  were an English beat band that had a number of hit records between May 1963 and November 1965. The band's stage act was enlivened by the comic antics of the 5-foot-3-inch-tall (1.60m) Freddie Garrity, who would bounce around the stage with arms and legs flying.
Freddie officially retired from all work in February 2001. He died in Bangor, North Wales, on 19 May 2006.


== "
FreddieMercury,"Freddie Mercury (born Farrokh Bulsara; 5 September 1946 – 24 November 1991) was a British singer, songwriter, record producer, and lead vocalist of the rock band Queen. Regarded as one of the greatest lead singers in the history of rock music, he was known for his flamboyant stage persona and four-octave vocal range. Mercury defied the conventions of a rock frontman, with his highly theatrical sty"
FreddyCannon,"Frederick Anthony Picariello, Jr. (born December 4, 1940), known as Freddy Cannon, is an American rock and roll singer, whose biggest international hits included ""Tallahassee Lassie"", ""Way Down Yonder in New Orleans"", and ""Palisades Park"".


== Biography ==
Freddy Picariello was born in Revere, Massachusetts, moving to the neighboring city of Lynn as a child. His father worked as a truck driver an"
Frer,"May Who? (Thai: เมย์ไหน..ไฟแรงเฟร่อ; RTGS: Me Nai Fai Raeng Froe; Thai pronunciation: [meː˧ näj˩˩˦ fäj˧ rɛːŋ˧ frɤː˥˩]) is a 2015 romantic-comedy Thai film starring Sutatta Udomsilp, Thiti Mahayotaruk and Thanapob Leeratanakajorn. The film, produced and distributed by GMM Tai Hub premiered in Thailand on October 1, 2015.


== Synopsis ==
Pong (Thiti Mahayotaruk) is a high-school outcast who loves t"
FriendAndLover,"Friend & Lover was an American folk-singing duo composed of husband-and-wife team Jim and Cathy Post. The duo is best known for its hit single ""Reach out of the Darkness,"" which reached number 10 on the U.S. Billboard Hot 100 chart in the summer of 1968.


== Biographical information ==
Cathy Conn was born May 30, 1945, in Chicago, Illinois. She had a background in song and dance before meeting fu"
Gallery,"Gagosian is a contemporary art gallery owned and directed by Larry Gagosian. The gallery exhibits some of the most influential artists of the 20th and 21st centuries. There are 16 gallery spaces: five in New York; three in London; two in Paris; one each in Basel, Beverly Hills, San Francisco, Rome, Athens, Geneva and Hong Kong.


== Development ==


=== 1980s ===
Larry Gagosian opened his first ga"
GapBand,"The Gap Band was an American R&B and funk band that rose to fame during the 1970s and 1980s. The band consisted of three brothers Charlie, Ronnie, and Robert Wilson; and it was named after streets (Greenwood, Archer, and Pine) in the historic Greenwood neighborhood in the brothers' hometown of Tulsa, Oklahoma. After 43 years together, they retired in 2010.


== History ==


=== Early years ===
The"
GaryGlitter,"Paul Francis Gadd (born 8 May 1944), known professionally as Gary Glitter, is an English former glam rock singer who achieved success in the 1970s and 1980s, known for his extreme glam image of glitter suits, make-up and platform boots, and his energetic live performances. He sold over 20 million records, had 26 hit singles which spent a total of 180 weeks in the UK Singles Chart; twelve reaching "
GaryLewis,"Gary Lewis (born Gary Harold Lee Levitch; July 31, 1946) is an American musician who was the leader of Gary Lewis & the Playboys.


== Early life ==
Gary Lewis is the son of Jerry Lewis and singer Patti Palmer. His mother, who was a singer at the time with the Ted Fio Rito Orchestra, intended to name him after her favorite actor, Cary Grant, but a clerical error led to his naming as ""Gary"". He rec"
GaryPuckett,"Gary Puckett & The Union Gap (initially credited as The Union Gap featuring Gary Puckett) was an American pop rock group active in the late 1960s.  The group, formed by Gary Puckett, Gary 'Mutha' Withem, Dwight Bement, Kerry Chater and Paul Wheatbread, who eventually named it The Union Gap, had its biggest hits with ""Woman, Woman"", Young Girl"", ""Lady Willpower"", ""Over You"", ""Don't Give In to Him, "
GaryWright,"Gary Malcolm Wright (born April 26, 1943) is an American singer, songwriter, musician, and composer best known for his 1976 hit songs ""Dream Weaver"" and ""Love Is Alive"", and for his role in helping establish the synthesizer as a leading instrument in rock and pop music. Wright's breakthrough album, The Dream Weaver (1975), came after he had spent seven years in London as, alternately, a member of "
GeneChandler,"Gene Chandler (born Eugene Drake Dixon on July 6, 1937) is an American singer, songwriter, music producer and record label executive. Nicknamed ""The Duke of Earl"" or simply ""The Duke"", he is best known for his most successful songs ""Duke of Earl"" and ""Groovy Situation"" and his association with The Dukays, the Impressions and Curtis Mayfield.
Chandler is a Grammy Hall Of Fame inductee and a winner "
Genesis,"Genesis Yasmine Mohanraj, known by her stage name  Tommy Genesis, is a Canadian rapper, model and visual artist. In 2016, Dazed magazine described her as ""the internet's most rebellious underground rap queen"". Her music incorporates experimental style and often sexual verses. Her debut album titled Tommy Genesis was released in November 2018.


== Early life and education ==
Genesis was born in Va"
GeneVincent,"Vincent Eugene Craddock (May 26, 1935 – October 12, 1971), known as Gene Vincent, was an American musician who pioneered the styles of rock and roll and rockabilly. His 1956 top ten hit with his Blue Caps, ""Be-Bop-a-Lula"", is considered a significant early example of rockabilly. He was inducted into the Rock and Roll Hall of Fame and the Rockabilly Hall of Fame.


== Biography ==


=== Early life "
GeorgeBenson,"George Washington Benson (born March 22, 1943) is an American guitarist, singer, and songwriter. He began his professional career at the age of 21 as a jazz guitarist. 
A former child prodigy, Benson first came to prominence in the 1960s, playing soul jazz with Jack McDuff and others. He then launched a successful solo career, alternating between jazz, pop, R&B singing, and scat singing. His album"
GeorgeHarrison,"George Harrison  (25 February 1943 – 29 November 2001) was an English musician, singer, songwriter, and music and film producer who achieved international fame as the lead guitarist of the Beatles. Sometimes called ""the quiet Beatle"", Harrison embraced Indian culture and helped broaden the scope of popular music through his incorporation of Indian instrumentation and Hindu-aligned spirituality in "
GeorgeMcCrae,"George Warren McCrae, Jr. (born October 19, 1944) is an American soul and disco singer, most famous for his 1974 hit ""Rock Your Baby"".


== Biography and career ==
McCrae was the second of nine children, born in West Palm Beach, Florida. He formed his own singing group, the Jivin' Jets, before joining the United States Navy in 1963. He married Gwen McCrae (nee Mosley) in 1963. Four years later, he"
GeorgeMichael,"George Michael (born Georgios Kyriacos Panayiotou; 25 June 1963 – 25 December 2016) was an English singer, songwriter, record producer, and philanthropist who rose to fame as a member of the music duo Wham! and later embarked on a solo career. Michael sold over 80 million records worldwide making him one of the best-selling music artists of all time. He achieved seven number one songs on the UK Si"
GeorgeThorogood,"George Lawrence Thorogood (born February 24, 1950) is an American musician, singer and songwriter from Wilmington, Delaware. His ""high-energy boogie-blues"" sound became a staple of 1980s rock radio, with hits like his original songs ""Bad to the Bone"" and ""I Drink Alone"". He has also helped to popularize older songs by American icons, such as ""Move It on Over"", ""Who Do You Love?"", and ""House Rent B"
GerryAndThePacemakers,"Gerry and the Pacemakers were an English beat group prominent in the 1960s Merseybeat scene. In common with the Beatles, they came from Liverpool, were managed by Brian Epstein, and were recorded by George Martin.They are most remembered for being the first act to reach number one in the UK Singles Chart with their first three single releases: ""How Do You Do It?"", ""I Like It"" and ""You'll Never Wal"
GerryRafferty,"Gerald Rafferty (16 April 1947 – 4 January 2011) was a Scottish rock singer-songwriter.  His solo hits in the late 1970s included ""Baker Street"", ""Right Down the Line"" and ""Night Owl"", as well as ""Stuck in the Middle with You"", which was recorded with the band Stealers Wheel in 1973.
Rafferty was born into a working-class family in Paisley, Renfrewshire, Scotland. His mother taught him both Irish "
GilbertOSullivan,"The following is a discography listing of Gilbert O'Sullivan's officially released works to date.


== Albums ==


== Singles ==
† Duet with Peggy Lee


== EPs ==


== References =="
GinoVannelli,"Gino Vannelli (born June 16, 1952) is a Canadian rock singer and songwriter who had several hit songs in the 1970s and 1980s. His best-known singles include ""I Just Wanna Stop"" (1978), ""Living Inside Myself"" (1981) and ""Wild Horses"" (1987).


== Career ==
Vannelli was born to an Italian family in Montreal, Quebec. His father, (Joseph) Russ Vannelli, sang with the Montreal dance bands of trumpeters"
GladysKnight,"Gladys Maria Knight (born May 28, 1944), known as the ""Empress of Soul"", is an American singer, songwriter, actress, businesswoman, and author. A seven-time Grammy Award-winner, Knight is known for the hits she recorded during the 1960s, 1970s, and 1980s with her group Gladys Knight & the Pips, which also included her brother Merald ""Bubba"" Knight and cousins Edward Patten and William Guest.
Knigh"
GlenMedeiros,"Glenn Alan Medeiros (born June 24, 1970) is an American educator and a former singer and songwriter of Portuguese descent who achieved chart success in the late 1980s and early 1990s.  He is best known on the national and international music scene for his 1987 global smash, ""Nothing's Gonna Change My Love for You"", and ""She Ain't Worth It"", a US chart-topper in 1990. He has remained regularly invo"
GlenMelanie,"Kevin Spacey Fowler  (born July 26, 1959) is an American actor, producer, and singer. Spacey began his career as a stage actor during the 1980s, obtaining supporting roles in film and television. He gained critical acclaim in the 1990s, culminating in an Academy Award for Best Supporting Actor for the neo-noir crime thriller The Usual Suspects (1995) and an Academy Award for Best Actor for the mid"
GlennFrey,"Glenn Lewis Frey (; November 6, 1948 – January 18, 2016) was an American singer, songwriter, actor and founding member of the rock band the Eagles. Frey was the co-lead singer and frontman for the Eagles, roles he came to share with fellow member Don Henley, with whom he wrote most of the Eagles' material. Frey played guitar and keyboards as well as singing lead vocals on songs such as ""Take It Ea"
Godspell,"Victor Joseph Garber (born March 16, 1949) is a Canadian-American actor and singer known for his work in television, film, and theatre. He started his career on the Broadway stage playing: Jesus in Godspell; Anthony Hope in Sweeney Todd: The Demon Barber of Fleet Street; and John Wilkes Booth in Assassins. He would later go on to earn four Tony Award nominations for his performances in Deathtrap, "
GoGos,"The Go-Go's are an American new wave band formed in Los Angeles, California in 1978. Except for short periods when other musicians joined briefly, the band has had a relatively stable line-up consisting of Charlotte Caffey on lead guitar and keyboards, Belinda Carlisle on lead vocals, Gina Schock on drums, Kathy Valentine on bass guitar, and Jane Wiedlin on rhythm guitar.  The Go-Go's rose to fame"
GoldenEarring,"Golden Earring is a Dutch rock band, founded in 1961 in The Hague as The Golden Earrings (the definite article was dropped in 1967, while the ""s"" was dropped in 1969). They achieved worldwide fame with their international hit songs  ""Radar Love"" in 1973, which went to number one on the Dutch charts, reached the top ten in the United Kingdom, and went to number thirteen on the United States charts,"
GordonLightfoot,"Gordon Meredith Lightfoot Jr.  (born November 17, 1938) is a Canadian singer-songwriter and guitarist who achieved international success in folk, folk-rock, and country music. He is credited with helping to define the folk-pop sound of the 1960s and 1970s. He is often referred to as Canada's greatest songwriter and is known internationally as a folk-rock legend.Lightfoot's songs, including ""For Lo"
